timestamp,temperature,humidity,light,sound
1774819178863.0,21.0,55.0,71.0,499.0
1774819188863.0,21.0,55.0,72.0,252.0
1774819198863.0,21.0,55.0,71.0,224.0
1774819208863.0,21.0,55.0,71.0,212.0
1774819218863.0,21.0,55.0,72.0,212.0
1774819228863.0,21.0,55.0,71.0,235.0
1774819238863.0,21.0,55.0,71.0,212.0
1774819248863.0,21.0,55.0,72.0,323.0
1774819258863.0,21.0,55.0,70.0,214.0
1774819268863.0,21.0,55.0,70.0,213.0
1774819278863.0,21.0,55.0,71.0,213.0
1774819288863.0,21.0,55.0,71.0,212.0
1774819298863.0,21.0,55.0,71.0,214.0
1774819308863.0,21.0,55.0,71.0,212.0
1774819318863.0,21.0,55.0,70.0,226.0
1774819328863.0,21.0,55.0,70.0,213.0
1774819338863.0,21.0,55.0,70.0,213.0
1774819348863.0,21.0,55.0,71.0,223.0
1774819358863.0,21.0,55.0,71.0,214.0
1774819368863.0,21.0,55.0,70.0,214.0
1774819378863.0,21.0,55.0,71.0,214.0
1774819388863.0,21.0,55.0,71.0,399.0
1774819398863.0,21.0,55.0,71.0,232.0
1774819408863.0,21.0,55.0,72.0,214.0
1774819418863.0,21.0,55.0,70.0,214.0
1774819428863.0,21.0,55.0,70.0,386.0
1774819438863.0,21.0,55.0,71.0,214.0
1774819448863.0,21.0,55.0,71.0,213.0
1774819458863.0,21.0,55.0,70.0,246.0
1774819468863.0,21.0,55.0,71.0,214.0
1774819478863.0,21.0,55.0,70.0,213.0
1774819488863.0,21.0,55.0,72.0,214.0
1774819498863.0,21.0,55.0,70.0,222.0
1774819508863.0,21.0,55.0,71.0,214.0
1774819518863.0,21.0,55.0,70.0,254.0
1774819528863.0,21.0,55.0,70.0,214.0
1774819538863.0,21.0,55.0,70.0,214.0
1774819548863.0,21.0,55.0,73.0,214.0
1774819558863.0,21.0,55.0,71.0,215.0
1774819568863.0,21.0,55.0,71.0,214.0
1774819578863.0,21.0,55.0,71.0,214.0
1774819588863.0,21.0,55.0,70.0,214.0
1774819598863.0,21.0,55.0,70.0,214.0
1774819608863.0,21.0,55.0,70.0,289.0
1774819618863.0,21.0,55.0,71.0,222.0
1774819628863.0,21.0,55.0,70.0,215.0
1774819638863.0,21.0,55.0,71.0,291.0
1774819648863.0,21.0,55.0,70.0,215.0
1774819658863.0,21.0,55.0,70.0,215.0
1774819668863.0,21.0,55.0,70.0,225.0
1774819678863.0,21.0,55.0,70.0,232.0
1774819688863.0,21.0,55.0,70.0,215.0
1774819698863.0,21.0,55.0,70.0,258.0
1774819708863.0,21.0,55.0,71.0,216.0
1774819718863.0,21.0,55.0,70.0,216.0
1774819728863.0,21.0,55.0,70.0,235.0
1774819738863.0,21.0,55.0,70.0,215.0
1774819748863.0,21.0,55.0,69.0,216.0
1774819758863.0,21.0,55.0,70.0,216.0
1774819768863.0,21.0,54.0,69.0,216.0
1774819778863.0,21.0,54.0,70.0,243.0
1774819788863.0,21.0,54.0,70.0,244.0
1774819798863.0,21.0,54.0,69.0,216.0
1774819808863.0,21.0,54.0,70.0,357.0
1774819818863.0,21.0,54.0,70.0,216.0
1774819828863.0,21.0,54.0,70.0,327.0
1774819838863.0,21.0,54.0,70.0,217.0
1774819848863.0,21.0,54.0,70.0,216.0
1774819858863.0,21.0,54.0,71.0,233.0
1774819868863.0,21.0,55.0,70.0,258.0
1774819878863.0,21.0,55.0,70.0,217.0
1774819888863.0,21.0,54.0,70.0,217.0
1774819898863.0,21.0,54.0,74.0,216.0
1774819908863.0,21.0,54.0,71.0,255.0
1774819918863.0,21.0,54.0,71.0,271.0
1774819928863.0,21.0,54.0,71.0,217.0
1774819938863.0,21.0,54.0,71.0,217.0
1774819948863.0,21.0,54.0,71.0,217.0
1774819958863.0,21.0,54.0,71.0,217.0
1774819968863.0,21.0,54.0,71.0,217.0
1774819978863.0,21.0,54.0,71.0,246.0
1774819988863.0,21.0,54.0,71.0,217.0
1774819998863.0,21.0,54.0,71.0,267.0
1774820008863.0,21.0,54.0,72.0,218.0
1774820018863.0,21.0,54.0,71.0,218.0
1774820028863.0,21.0,54.0,71.0,218.0
1774820038863.0,21.0,54.0,71.0,255.0
1774820048863.0,21.0,54.0,73.0,289.0
1774820058863.0,21.0,54.0,73.0,218.0
1774820068863.0,21.0,54.0,72.0,219.0
1774820078863.0,21.0,55.0,71.0,218.0
1774820088863.0,21.0,54.0,71.0,218.0
1774820098863.0,21.0,54.0,73.0,720.0
1774820108863.0,21.0,54.0,71.0,221.0
1774820118863.0,21.0,54.0,71.0,248.0
1774820128863.0,21.0,54.0,71.0,221.0
1774820138863.0,21.0,55.0,71.0,219.0
1774820148863.0,21.0,55.0,71.0,218.0
1774820158863.0,21.0,54.0,71.0,219.0
1774820168863.0,21.0,54.0,71.0,242.0
1774820178863.0,21.0,54.0,70.0,219.0
1774820188863.0,21.0,54.0,70.0,229.0
1774820198863.0,21.0,54.0,74.0,219.0
1774820208863.0,20.0,55.0,72.0,203.0
1774820218863.0,20.0,55.0,71.0,347.0
1774820228863.0,20.0,55.0,71.0,235.0
1774820238863.0,20.0,55.0,71.0,203.0
1774820248863.0,20.0,56.0,71.0,203.0
1774820258863.0,20.0,56.0,72.0,283.0
1774820268863.0,20.0,55.0,72.0,247.0
1774820278863.0,20.0,55.0,71.0,204.0
1774820288863.0,20.0,55.0,71.0,251.0
1774820298863.0,20.0,55.0,72.0,204.0
1774820308863.0,20.0,55.0,71.0,204.0
1774820318863.0,20.0,55.0,70.0,205.0
1774820328863.0,20.0,55.0,71.0,204.0
1774820338863.0,20.0,55.0,70.0,204.0
1774820348863.0,20.0,55.0,72.0,204.0
1774820358863.0,20.0,56.0,73.0,230.0
1774820368863.0,20.0,55.0,71.0,211.0
1774820378863.0,20.0,55.0,71.0,204.0
1774820388863.0,20.0,55.0,71.0,235.0
1774820398863.0,20.0,56.0,71.0,288.0
1774820408863.0,20.0,55.0,71.0,237.0
1774820418863.0,20.0,55.0,71.0,205.0
1774820428863.0,20.0,56.0,71.0,231.0
1774820438863.0,20.0,55.0,70.0,205.0
1774820448863.0,20.0,55.0,71.0,237.0
1774820458863.0,20.0,56.0,71.0,206.0
1774820468863.0,20.0,55.0,70.0,206.0
1774820478863.0,20.0,55.0,70.0,206.0
1774820488863.0,20.0,55.0,70.0,206.0
1774820498863.0,21.0,55.0,70.0,647.0
1774820508863.0,21.0,55.0,72.0,235.0
1774820518863.0,21.0,55.0,73.0,243.0
1774820528863.0,21.0,55.0,72.0,206.0
1774820538863.0,21.0,55.0,70.0,255.0
1774820548863.0,21.0,55.0,71.0,269.0
1774820558863.0,21.0,55.0,71.0,206.0
1774820568863.0,21.0,55.0,70.0,207.0
1774820578863.0,21.0,55.0,72.0,211.0
1774820588863.0,21.0,55.0,72.0,206.0
1774820598863.0,21.0,55.0,71.0,207.0
1774820608863.0,21.0,55.0,71.0,206.0
1774820618863.0,21.0,55.0,71.0,207.0
1774820628863.0,21.0,55.0,72.0,321.0
1774820638863.0,21.0,55.0,71.0,251.0
1774820648863.0,21.0,55.0,71.0,207.0
1774820658863.0,21.0,55.0,71.0,233.0
1774820668863.0,21.0,55.0,70.0,229.0
1774820678863.0,21.0,55.0,70.0,207.0
1774820688863.0,21.0,55.0,71.0,270.0
1774820698863.0,21.0,55.0,71.0,208.0
1774820708863.0,21.0,55.0,71.0,208.0
1774820718863.0,21.0,55.0,70.0,208.0
1774820728863.0,21.0,55.0,71.0,229.0
1774820738863.0,21.0,55.0,71.0,207.0
1774820748863.0,21.0,55.0,71.0,250.0
1774820758863.0,21.0,55.0,71.0,209.0
1774820768863.0,21.0,55.0,71.0,209.0
1774820778863.0,21.0,55.0,72.0,277.0
1774820788863.0,21.0,55.0,70.0,209.0
1774820798863.0,21.0,55.0,70.0,355.0
1774820808863.0,21.0,55.0,71.0,209.0
1774820818863.0,21.0,55.0,71.0,971.0
1774820828863.0,21.0,55.0,70.0,208.0
1774820838863.0,21.0,55.0,71.0,232.0
1774820848863.0,21.0,55.0,70.0,221.0
1774820858863.0,21.0,55.0,70.0,274.0
1774820868863.0,21.0,55.0,71.0,209.0
1774820878863.0,21.0,55.0,68.0,209.0
1774820888863.0,21.0,55.0,68.0,240.0
1774820898863.0,21.0,55.0,69.0,209.0
1774820908863.0,21.0,55.0,69.0,210.0
1774820918863.0,21.0,55.0,71.0,278.0
1774820928863.0,21.0,55.0,69.0,317.0
1774820938863.0,21.0,55.0,69.0,248.0
1774820948863.0,21.0,55.0,69.0,209.0
1774820958863.0,21.0,55.0,69.0,344.0
1774820968863.0,21.0,55.0,0.0,820.0
1774820978863.0,21.0,55.0,70.0,249.0
1774820988863.0,21.0,55.0,71.0,209.0
1774820998863.0,21.0,55.0,70.0,210.0
1774821008863.0,21.0,55.0,72.0,210.0
1774821018863.0,21.0,55.0,69.0,210.0
1774821028863.0,21.0,55.0,70.0,210.0
1774821038863.0,21.0,55.0,70.0,760.0
1774821048863.0,21.0,55.0,70.0,471.0
1774821058863.0,21.0,55.0,70.0,443.0
1774821068863.0,21.0,55.0,70.0,443.0
1774821078863.0,21.0,55.0,71.0,210.0
1774821088863.0,21.0,55.0,71.0,413.0
1774821098863.0,21.0,55.0,73.0,211.0
1774821108863.0,21.0,55.0,70.0,211.0
1774821118863.0,21.0,55.0,70.0,211.0
1774821128863.0,21.0,55.0,72.0,284.0
1774821138863.0,21.0,55.0,71.0,268.0
1774821148863.0,21.0,55.0,71.0,211.0
1774821158863.0,21.0,55.0,71.0,211.0
1774821168863.0,21.0,55.0,71.0,292.0
1774821178863.0,21.0,55.0,71.0,499.0
1774821188863.0,21.0,55.0,72.0,252.0
1774821198863.0,21.0,55.0,71.0,224.0
1774821208863.0,21.0,55.0,71.0,212.0
1774821218863.0,21.0,55.0,72.0,212.0
1774821228863.0,21.0,55.0,71.0,235.0
1774821238863.0,21.0,55.0,71.0,212.0
1774821248863.0,21.0,55.0,72.0,323.0
1774821258863.0,21.0,55.0,70.0,214.0
1774821268863.0,21.0,55.0,70.0,213.0
1774821278863.0,21.0,55.0,71.0,213.0
1774821288863.0,21.0,55.0,71.0,212.0
1774821298863.0,21.0,55.0,71.0,214.0
1774821308863.0,21.0,55.0,71.0,212.0
1774821318863.0,21.0,55.0,70.0,226.0
1774821328863.0,21.0,55.0,70.0,213.0
1774821338863.0,21.0,55.0,70.0,213.0
1774821348863.0,21.0,55.0,71.0,223.0
1774821358863.0,21.0,55.0,71.0,214.0
1774821368863.0,21.0,55.0,70.0,214.0
1774821378863.0,21.0,55.0,71.0,214.0
1774821388863.0,21.0,55.0,71.0,399.0
1774821398863.0,21.0,55.0,71.0,232.0
1774821408863.0,21.0,55.0,72.0,214.0
1774821418863.0,21.0,55.0,70.0,214.0
1774821428863.0,21.0,55.0,70.0,386.0
1774821438863.0,21.0,55.0,71.0,214.0
1774821448863.0,21.0,55.0,71.0,213.0
1774821458863.0,21.0,55.0,70.0,246.0
1774821468863.0,21.0,55.0,71.0,214.0
1774821478863.0,21.0,55.0,70.0,213.0
1774821488863.0,21.0,55.0,72.0,214.0
1774821498863.0,21.0,55.0,70.0,222.0
1774821508863.0,21.0,55.0,71.0,214.0
1774821518863.0,21.0,55.0,70.0,254.0
1774821528863.0,21.0,55.0,70.0,214.0
1774821538863.0,21.0,55.0,70.0,214.0
1774821548863.0,21.0,55.0,73.0,214.0
1774821558863.0,21.0,55.0,71.0,215.0
1774821568863.0,21.0,55.0,71.0,214.0
1774821578863.0,21.0,55.0,71.0,214.0
1774821588863.0,21.0,55.0,70.0,214.0
1774821598863.0,21.0,55.0,70.0,214.0
1774821608863.0,21.0,55.0,70.0,289.0
1774821618863.0,21.0,55.0,71.0,222.0
1774821628863.0,21.0,55.0,70.0,215.0
1774821638863.0,21.0,55.0,71.0,291.0
1774821648863.0,21.0,55.0,70.0,215.0
1774821658863.0,21.0,55.0,70.0,215.0
1774821668863.0,21.0,55.0,70.0,225.0
1774821678863.0,21.0,55.0,70.0,232.0
1774821688863.0,21.0,55.0,70.0,215.0
1774821698863.0,21.0,55.0,70.0,258.0
1774821708863.0,21.0,55.0,71.0,216.0
1774821718863.0,21.0,55.0,70.0,216.0
1774821728863.0,21.0,55.0,70.0,235.0
1774821738863.0,21.0,55.0,70.0,215.0
1774821748863.0,21.0,55.0,69.0,216.0
1774821758863.0,21.0,55.0,70.0,216.0
1774821768863.0,21.0,54.0,69.0,216.0
1774821778863.0,21.0,54.0,70.0,243.0
1774821788863.0,21.0,54.0,70.0,244.0
1774821798863.0,21.0,54.0,69.0,216.0
1774821808863.0,21.0,54.0,70.0,357.0
1774821818863.0,21.0,54.0,70.0,216.0
1774821828863.0,21.0,54.0,70.0,327.0
1774821838863.0,21.0,54.0,70.0,217.0
1774821848863.0,21.0,54.0,70.0,216.0
1774821858863.0,21.0,54.0,71.0,233.0
1774821868863.0,21.0,55.0,70.0,258.0
1774821878863.0,21.0,55.0,70.0,217.0
1774821888863.0,21.0,54.0,70.0,217.0
1774821898863.0,21.0,54.0,74.0,216.0
1774821908863.0,21.0,54.0,71.0,255.0
1774821918863.0,21.0,54.0,71.0,271.0
1774821928863.0,21.0,54.0,71.0,217.0
1774821938863.0,21.0,54.0,71.0,217.0
1774821948863.0,21.0,54.0,71.0,217.0
1774821958863.0,21.0,54.0,71.0,217.0
1774821968863.0,21.0,54.0,71.0,217.0
1774821978863.0,21.0,54.0,71.0,246.0
1774821988863.0,21.0,54.0,71.0,217.0
1774821998863.0,21.0,54.0,71.0,267.0
1774822008863.0,21.0,54.0,72.0,218.0
1774822018863.0,21.0,54.0,71.0,218.0
1774822028863.0,21.0,54.0,71.0,218.0
1774822038863.0,21.0,54.0,71.0,255.0
1774822048863.0,21.0,54.0,73.0,289.0
1774822058863.0,21.0,54.0,73.0,218.0
1774822068863.0,21.0,54.0,72.0,219.0
1774822078863.0,21.0,55.0,71.0,218.0
1774822088863.0,21.0,54.0,71.0,218.0
1774822098863.0,21.0,54.0,73.0,720.0
1774822108863.0,21.0,54.0,71.0,221.0
1774822118863.0,21.0,54.0,71.0,248.0
1774822128863.0,21.0,54.0,71.0,221.0
1774822138863.0,21.0,55.0,71.0,219.0
1774822148863.0,21.0,55.0,71.0,218.0
1774822158863.0,21.0,54.0,71.0,219.0
1774822168863.0,21.0,54.0,71.0,242.0
1774822178863.0,21.0,54.0,70.0,219.0
1774822188863.0,21.0,54.0,70.0,229.0
1774822198863.0,21.0,54.0,74.0,219.0
1774822208863.0,20.0,55.0,72.0,203.0
1774822218863.0,20.0,55.0,71.0,347.0
1774822228863.0,20.0,55.0,71.0,235.0
1774822238863.0,20.0,55.0,71.0,203.0
1774822248863.0,20.0,56.0,71.0,203.0
1774822258863.0,20.0,56.0,72.0,283.0
1774822268863.0,20.0,55.0,72.0,247.0
1774822278863.0,20.0,55.0,71.0,204.0
1774822288863.0,20.0,55.0,71.0,251.0
1774822298863.0,20.0,55.0,72.0,204.0
1774822308863.0,20.0,55.0,71.0,204.0
1774822318863.0,20.0,55.0,70.0,205.0
1774822328863.0,20.0,55.0,71.0,204.0
1774822338863.0,20.0,55.0,70.0,204.0
1774822348863.0,20.0,55.0,72.0,204.0
1774822358863.0,20.0,56.0,73.0,230.0
1774822368863.0,20.0,55.0,71.0,211.0
1774822378863.0,20.0,55.0,71.0,204.0
1774822388863.0,20.0,55.0,71.0,235.0
1774822398863.0,20.0,56.0,71.0,288.0
1774822408863.0,20.0,55.0,71.0,237.0
1774822418863.0,20.0,55.0,71.0,205.0
1774822428863.0,20.0,56.0,71.0,231.0
1774822438863.0,20.0,55.0,70.0,205.0
1774822448863.0,20.0,55.0,71.0,237.0
1774822458863.0,20.0,56.0,71.0,206.0
1774822468863.0,20.0,55.0,70.0,206.0
1774822478863.0,20.0,55.0,70.0,206.0
1774822488863.0,20.0,55.0,70.0,206.0
1774822498863.0,21.0,55.0,70.0,647.0
1774822508863.0,21.0,55.0,72.0,235.0
1774822518863.0,21.0,55.0,73.0,243.0
1774822528863.0,21.0,55.0,72.0,206.0
1774822538863.0,21.0,55.0,70.0,255.0
1774822548863.0,21.0,55.0,71.0,269.0
1774822558863.0,21.0,55.0,71.0,206.0
1774822568863.0,21.0,55.0,70.0,207.0
1774822578863.0,21.0,55.0,72.0,211.0
1774822588863.0,21.0,55.0,72.0,206.0
1774822598863.0,21.0,55.0,71.0,207.0
1774822608863.0,21.0,55.0,71.0,206.0
1774822618863.0,21.0,55.0,71.0,207.0
1774822628863.0,21.0,55.0,72.0,321.0
1774822638863.0,21.0,55.0,71.0,251.0
1774822648863.0,21.0,55.0,71.0,207.0
1774822658863.0,21.0,55.0,71.0,233.0
1774822668863.0,21.0,55.0,70.0,229.0
1774822678863.0,21.0,55.0,70.0,207.0
1774822688863.0,21.0,55.0,71.0,270.0
1774822698863.0,21.0,55.0,71.0,208.0
1774822708863.0,21.0,55.0,71.0,208.0
1774822718863.0,21.0,55.0,70.0,208.0
1774822728863.0,21.0,55.0,71.0,229.0
1774822738863.0,21.0,55.0,71.0,207.0
1774822748863.0,21.0,55.0,71.0,250.0
