timestamp,temperature,humidity,light,sound,distance,motion
1776476935556,17.0,76.0,312,3,513,0
1776476946091,17.0,76.0,311,2,514,0
1776476956623,17.0,76.0,312,2,514,0
1776476956648,17.0,76.0,312,2,514,0
1776476967155,17.0,76.0,312,2,514,0
1776476977663,17.0,76.0,312,2,513,0
1776476988144,17.0,76.0,311,1,513,0
1776476998626,17.0,76.0,311,1,513,0
1776477009134,17.0,76.0,312,2,514,0
1776477019665,17.0,76.0,311,1,514,0
1776477030198,17.0,76.0,312,2,514,0
1776477040707,17.0,76.0,312,2,513,0
1776477051212,17.0,76.0,311,1,514,0
1776477061746,17.0,76.0,311,1,513,0
1776477072252,17.0,76.0,312,1,514,0
1776477082785,17.0,76.0,311,1,514,2
1776477093292,17.0,76.0,312,2,514,0
1776477103799,17.0,76.0,312,2,514,0
1776477114331,17.0,76.0,311,1,514,0
1776477124862,17.0,76.0,311,1,514,0
1776477135371,17.0,76.0,311,1,513,0
1776477145903,17.0,76.0,311,1,514,0
1776477156440,17.0,76.0,312,1,514,0
1776477166946,17.0,76.0,311,1,513,0
1776477177479,17.0,76.0,311,1,514,0
1776477187968,17.0,76.0,312,1,514,0
1776477198501,17.0,76.0,311,1,514,0
1776477209034,17.0,76.0,311,2,513,0
1776477219542,17.0,76.0,312,2,514,0
1776477230049,17.0,76.0,311,2,513,0
1776477240584,17.0,76.0,311,2,514,0
1776477251119,17.0,76.0,312,2,514,0
1776477261629,17.0,76.0,311,2,514,0
1776477272161,17.0,76.0,311,2,514,0
1776477282667,17.0,76.0,311,1,514,0
1776477293200,17.0,76.0,311,1,514,0
1776477303708,17.0,76.0,313,1,513,0
1776477314240,17.0,76.0,312,1,514,0
1776477324722,17.0,76.0,312,2,514,0
1776477335280,17.0,76.0,312,2,513,0
1776477345813,17.0,76.0,312,0,514,0
1776477356319,17.0,76.0,311,1,514,0
1776477366801,17.0,76.0,312,2,513,0
1776477377333,17.0,76.0,311,2,514,0
1776477387840,17.0,76.0,311,2,514,0
1776477398373,17.0,76.0,311,1,514,0
1776477408904,17.0,76.0,312,2,514,0
1776477419385,17.0,76.0,312,0,514,0
1776477429919,17.0,76.0,311,1,514,0
1776477440456,17.0,76.0,311,1,514,0
1776477450940,17.0,76.0,311,1,514,0
1776477461446,17.0,76.0,312,2,514,0
1776477471978,17.0,76.0,311,2,514,0
1776477482517,17.0,76.0,312,2,513,0
1776477492999,17.0,76.0,311,2,514,0
1776477503532,17.0,76.0,311,2,514,0
1776477514066,17.0,76.0,311,1,514,0
1776477524601,17.0,76.0,311,2,514,0
1776477535084,17.0,76.0,312,1,513,0
1776477545618,17.0,76.0,312,2,513,0
1776477556152,17.0,76.0,312,1,514,0
1776477566638,17.0,76.0,312,1,514,0
1776477577170,17.0,76.0,311,1,514,0
1776477587677,17.0,76.0,312,1,514,0
1776477598209,17.0,76.0,312,2,514,0
1776477598209,17.0,76.0,312,2,514,0
1776477608769,17.0,76.0,312,1,515,2
1776477619304,17.0,76.0,313,1,514,0
1776477629811,17.0,76.0,312,2,514,0
1776477640347,17.0,76.0,312,1,514,0
1776477650878,17.0,76.0,312,2,515,0
1776477661435,NaN,NaN,2,514,514,0
1776477671917,17.0,76.0,311,1,514,0
1776477682424,17.0,76.0,313,2,513,0
1776477692957,17.0,76.0,312,2,513,0
1776477703489,17.0,76.0,311,2,514,0
1776477713971,17.0,76.0,312,2,514,0
1776477724480,17.0,76.0,312,1,514,0
1776477735011,17.0,76.0,312,2,514,0
1776477745544,17.0,76.0,312,2,514,0
1776477756053,17.0,76.0,312,2,514,0
1776477766585,17.0,76.0,311,1,514,0
1776477777091,17.0,76.0,311,1,514,0
1776477787625,17.0,76.0,311,2,514,0
1776477798107,17.0,76.0,312,1,513,0
1776477808789,17.0,76.0,311,2,514,0
1776477819296,17.0,76.0,312,1,513,0
1776477829828,17.0,76.0,311,1,514,0
1776477840360,17.0,76.0,310,1,514,0
1776477850897,17.0,76.0,312,2,514,0
1776477861428,17.0,76.0,312,2,514,0
1776477871934,17.0,76.0,311,1,514,0
1776477882467,17.0,76.0,311,2,514,0
1776477892974,17.0,76.0,311,2,514,0
1776477903507,17.0,76.0,312,1,514,0
1776477914040,17.0,76.0,312,0,514,0
1776477924549,17.0,76.0,311,2,514,0
1776477935057,17.0,76.0,312,1,513,0
1776477945587,17.0,76.0,312,1,514,0
1776477956098,17.0,76.0,312,1,514,0
1776477966630,17.0,76.0,313,1,514,0
1776477977137,17.0,76.0,311,2,514,0
1776477987696,17.0,76.0,311,2,513,0
1776477998183,17.0,76.0,312,2,514,0
1776478008716,17.0,76.0,311,2,514,0
